1777303718.529337	63.3	98.22
1777303718.9297554	194.8	98.7
1777303719.347248	287.9	98.73
1777303719.8267987	234.2	98.73
1777303720.2340665	138.0	98.79
1777303720.6378608	73.5	98.79
1777303721.1367779	39.4	98.85
1777303721.531655	38.7	98.9
1777303722.0274847	44.9	98.93
1777303722.431641	38.9	98.93
1777303722.848811	30.5	98.96
1777303723.3259132	26.6	99.02
1777303723.7424068	27.4	99.02
1777303724.1388602	27.8	99.05
1777303724.6370826	21.7	99.08
1777303725.0297549	19.5	99.08
1777303725.528296	15.5	99.16
1777303725.9346447	61.6	99.39
1777303726.329825	104.3	99.42
1777303726.8283124	93.2	99.42
1777303727.244668	59.5	99.48
1777303727.6392062	42.7	99.48
1777303728.1371853	27.3	99.48
1777303728.5391877	18.0	99.5
1777303729.0383255	15.4	99.5
1777303729.4350598	10.5	99.5
1777303729.8353505	14.2	99.65
1777303730.3275383	49.8	99.67
1777303730.729015	58.5	99.7
1777303731.1394403	45.6	99.73
1777303731.6365924	32.7	99.73
1777303732.034607	24.3	99.76
1777303732.5337102	23.4	99.82
1777303732.9379363	28.6	99.82
1777303733.328501	34.2	99.99
1777303733.8241508	148.2	100.5
1777303734.231366	312.7	101.0
1777303734.641535	417.1	101.5
1777303735.1278434	423.2	101.6
1777303735.5395532	304.1	101.6
1777303736.0158458	162.5	101.6
1777303736.4339557	72.9	101.7
1777303736.8312287	37.1	101.7
1777303737.3318799	28.4	101.7
1777303737.7255044	23.0	101.7
1777303738.1461606	17.5	101.8
1777303738.6193256	76.6	102.1
1777303739.0355384	148.5	102.4
1777303739.5242193	211.3	102.6
1777303739.9401472	236.3	103.0
1777303740.3388038	320.2	103.5
1777303740.8267202	417.5	104.1
1777303741.239604	472.4	104.5
1777303741.6482909	505.1	105.1
1777303742.1204388	536.5	105.6
1777303742.5446584	536.9	106.2
1777303743.021089	541.0	106.8
1777303743.436128	536.2	107.2
1777303743.8397048	469.0	107.3
1777303744.3355124	353.1	107.6
1777303744.732262	317.7	108.1
1777303745.1441035	374.8	108.6
1777303745.6230087	439.7	109.2
1777303746.0417454	446.4	109.3
1777303746.526958	416.9	109.9
1777303746.936537	419.8	110.1
1777303747.34352	332.8	110.2
