1777285444.1221972	44.5	3.398
1777285444.5216944	18.8	3.826
1777285445.0113554	-36.8	3.911
1777285445.4154384	-19.4	3.998
1777285445.8333883	10.1	3.998
1777285446.312197	17.1	3.998
1777285446.7236183	16.3	4.027
1777285447.1259649	15.0	4.027
1777285447.6251433	15.6	4.054
1777285448.0196998	14.0	4.054
1777285448.5106623	31.3	4.197
1777285448.9156334	51.0	4.197
1777285449.3360298	59.4	4.34
1777285449.8082628	72.2	4.369
1777285450.228024	62.5	4.398
1777285450.627931	43.9	4.398
1777285451.1197152	27.1	4.426
1777285451.518153	19.9	4.454
1777285452.0193026	19.4	4.454
1777285452.4138908	21.3	4.483
1777285452.8297875	19.8	4.512
1777285453.3070352	25.5	4.569
1777285453.732178	32.6	4.597
1777285454.1294286	41.7	4.683
1777285454.6196365	49.3	4.683
1777285455.0205967	37.1	4.683
1777285455.5167978	23.7	4.797
1777285455.917444	39.0	4.797
1777285456.3364289	39.4	4.826
1777285456.8139293	32.7	4.826
1777285457.22851	21.6	4.826
1777285457.6237109	28.2	5.025
1777285458.118321	65.5	5.025
1777285458.5271244	61.6	5.025
1777285459.0219707	44.2	5.054
1777285459.4223156	27.1	5.083
1777285459.8161314	20.6	5.083
1777285460.308592	25.6	5.226
1777285460.7350485	63.0	5.568
1777285461.1242383	153.0	5.682
1777285461.6221514	209.5	5.911
1777285462.028992	197.0	5.939
1777285462.51686	131.0	5.939
1777285462.9234369	93.0	6.082
1777285463.3223715	86.6	6.168
1777285463.8172748	74.5	6.196
1777285464.2099164	54.2	6.224
1777285464.6282256	38.6	6.224
1777285465.1101463	24.2	6.253
1777285465.5250382	55.2	6.425
1777285466.025525	79.8	6.481
1777285466.4256659	86.8	6.568
1777285466.8230555	70.4	6.568
1777285467.3191075	7.6	6.939
1777285467.7159839	-72.5	6.939
1777285468.1258495	-67.5	7.024
1777285468.612455	-14.9	7.053
1777285469.0271068	14.2	7.053
1777285469.5242167	16.3	7.053
1777285469.9186587	12.4	7.082
1777285470.3273902	12.8	7.082
1777285470.8120534	15.6	7.138
1777285471.2190416	22.3	7.138
1777285471.6314988	26.1	7.196
1777285472.1069152	29.4	7.196
1777285472.5257301	21.3	7.196
1777285473.0114834	11.3	7.196
1777285473.426783	8.3	7.224
1777285473.8209846	10.7	7.224
1777285474.3148847	9.4	7.253
1777285474.7150667	20.6	7.338
1777285475.1319096	80.4	7.624
